"Model","ME","RMSE","MAE","MAPE"
"ARIMA",14.802214235529,18.4089276465117,15.491957282764,6.57917288888227
"ETS",-0.918007689588709,8.54231625261279,6.51871179874079,2.85202482774687
"Seasonal Naive",-17.8041666666667,28.6374390731201,22.5125,9.75343943763189
"Drift",7.60500902527076,13.9889431166391,11.4965854392298,4.90260932148597
"Mean",75.5382194244604,76.3144040853446,75.5382194244604,32.82977136161
"SARIMA",14.802214235529,18.4089276465117,18.4089276465117,6.57917288888227
"Ensemble",NA,NA,NA,NA
